
2024/06/13 (18:20:55) | ===> btop++ v.1.3.2
2024/06/13 (18:20:55) | ERROR: Stall in Runner thread, restarting!

2024/09/18 (19:38:57) | ===> btop++ v.1.3.2
2024/09/18 (19:38:57) | ERROR: Stall in Runner thread, restarting!

2024/10/25 (13:56:46) | ===> btop++ v.1.4.0
2024/10/25 (13:56:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (13:57:49) | ===> btop++ v.1.4.0
2024/10/25 (13:57:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (14:02:48) | ===> btop++ v.1.4.0
2024/10/25 (14:02:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (16:02:24) | ===> btop++ v.1.4.0
2024/10/25 (16:02:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (20:21:34) | ===> btop++ v.1.4.0
2024/10/25 (20:21:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (06:20:04) | ===> btop++ v.1.4.0
2024/10/26 (06:20:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (18:26:06) | ===> btop++ v.1.4.0
2024/10/28 (18:26:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (20:32:29) | ===> btop++ v.1.4.0
2024/10/28 (20:32:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (23:54:05) | ===> btop++ v.1.4.0
2024/10/28 (23:54:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (19:22:55) | ===> btop++ v.1.4.0
2024/10/29 (19:22:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (21:11:59) | ===> btop++ v.1.4.0
2024/10/29 (21:11:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (06:40:58) | ===> btop++ v.1.4.0
2025/02/17 (06:40:58) | WARNING: Failed to join _runner thread on exit!

2025/03/25 (20:17:24) | ===> btop++ v.1.4.0
2025/03/25 (20:17:24) | ERROR: Stall in Runner thread, restarting!

2025/03/31 (18:28:03) | ===> btop++ v.1.4.0
2025/03/31 (18:28:03) | ERROR: Stall in Runner thread, restarting!

2025/04/03 (13:41:48) | ===> btop++ v.1.4.0
2025/04/03 (13:41:48) | ERROR: Stall in Runner thread, restarting!
2025/04/03 (13:41:53) | ERROR: Stall in Runner thread, restarting!
2025/04/03 (13:41:58) | ERROR: Stall in Runner thread, restarting!
2025/04/03 (13:42:04) | ERROR: Stall in Runner thread, restarting!
2025/04/03 (13:42:10) | ERROR: Stall in Runner thread, restarting!
2025/04/03 (13:42:16) | ERROR: Stall in Runner thread, restarting!

2025/04/15 (18:53:32) | ===> btop++ v.1.4.0
2025/04/15 (18:53:32) | ERROR: Stall in Runner thread, restarting!

2025/04/22 (07:35:41) | ===> btop++ v.1.4.0
2025/04/22 (07:35:41) | ERROR: Stall in Runner thread, restarting!
2025/04/22 (07:35:47) | ERROR: Stall in Runner thread, restarting!

2025/04/30 (14:16:06) | ===> btop++ v.1.4.0
2025/04/30 (14:16:06) | ERROR: Stall in Runner thread, restarting!

2025/05/03 (10:30:39) | ===> btop++ v.1.4.0
2025/05/03 (10:30:39) | ERROR: Stall in Runner thread, restarting!
2025/05/03 (10:30:45) | ERROR: Stall in Runner thread, restarting!
2025/05/03 (10:30:51) | ERROR: Stall in Runner thread, restarting!
2025/05/03 (10:30:57) | ERROR: Stall in Runner thread, restarting!
2025/05/03 (10:31:03) | ERROR: Stall in Runner thread, restarting!

2025/05/03 (20:43:13) | ===> btop++ v.1.4.0
2025/05/03 (20:43:13) | ERROR: Stall in Runner thread, restarting!

2025/05/07 (00:41:51) | ===> btop++ v.1.4.0
2025/05/07 (00:41:51) | ERROR: Stall in Runner thread, restarting!

2025/05/15 (05:38:56) | ===> btop++ v.1.4.0
2025/05/15 (05:38:56) | ERROR: Stall in Runner thread, restarting!
