
2024/06/13 (18:20:55) | ===> btop++ v.1.3.2
2024/06/13 (18:20:55) | ERROR: Stall in Runner thread, restarting!

2024/09/18 (19:38:57) | ===> btop++ v.1.3.2
2024/09/18 (19:38:57) | ERROR: Stall in Runner thread, restarting!

2024/10/25 (13:56:46) | ===> btop++ v.1.4.0
2024/10/25 (13:56:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (13:57:49) | ===> btop++ v.1.4.0
2024/10/25 (13:57:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (14:02:48) | ===> btop++ v.1.4.0
2024/10/25 (14:02:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (16:02:24) | ===> btop++ v.1.4.0
2024/10/25 (16:02:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (20:21:34) | ===> btop++ v.1.4.0
2024/10/25 (20:21:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (06:20:04) | ===> btop++ v.1.4.0
2024/10/26 (06:20:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (18:26:06) | ===> btop++ v.1.4.0
2024/10/28 (18:26:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (20:32:29) | ===> btop++ v.1.4.0
2024/10/28 (20:32:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (23:54:05) | ===> btop++ v.1.4.0
2024/10/28 (23:54:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (19:22:55) | ===> btop++ v.1.4.0
2024/10/29 (19:22:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (21:11:59) | ===> btop++ v.1.4.0
2024/10/29 (21:11:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (06:40:58) | ===> btop++ v.1.4.0
2025/02/17 (06:40:58) | WARNING: Failed to join _runner thread on exit!
